player_id,player_name,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend
1,David Raya Martín,15,450,5,90.0,0,0,900,10,stable
2,Kepa Arrizabalaga Revuelta,15,0,0,0.0,10,15,0,0,stable
3,Karl Hein,15,0,0,0.0,10,15,0,0,stable
4,Tommy Setford,15,0,0,0.0,10,15,0,0,stable
5,Gabriel dos Santos Magalhães,15,90,1,18.0,4,4,540,6,decreasing
6,William Saliba,15,180,2,36.0,3,3,540,5,decreasing
7,Riccardo Calafiori,15,400,5,80.0,0,0,785,9,stable
8,Jurriën Timber,15,406,5,81.2,0,0,856,9,stable
9,Jakub Kiwior,15,0,0,0.0,10,15,0,0,stable
10,Myles Lewis-Skelly,15,50,3,10.0,3,1,70,0,increasing
11,Benjamin White,15,180,2,36.0,8,12,180,2,increasing
13,Brayden Clarke,15,0,0,0.0,10,15,0,0,stable
14,Maldini Kacurri,15,0,0,0.0,10,15,0,0,stable
15,Josh Nichols,15,0,0,0.0,10,15,0,0,stable
16,Bukayo Saka,15,377,5,75.4,0,2,781,9,stable
17,Martin Ødegaard,15,213,3,42.6,5,5,250,2,increasing
18,Noni Madueke,15,116,4,23.2,6,6,116,1,increasing
19,Gabriel Martinelli Silva,15,120,3,24.0,3,3,184,1,increasing
20,Leandro Trossard,15,207,3,41.4,2,2,628,7,decreasing
21,Declan Rice,15,442,5,88.4,0,0,871,10,stable
22,Mikel Merino Zazón,15,402,5,80.4,0,1,514,4,increasing
23,Fábio Ferreira Vieira,15,0,0,0.0,10,15,0,0,stable
24,Christian Nørgaard,15,0,0,0.0,8,7,14,0,decreasing
25,Ethan Nwaneri,15,2,1,0.4,7,3,35,0,decreasing
26,Martín Zubimendi Ibáñez,15,416,5,83.2,0,0,813,9,stable
28,Ismeal Kabia,15,0,0,0.0,10,15,0,0,stable
29,Albert Sambi Lokonga,15,0,0,0.0,10,15,0,0,stable
30,Kai Havertz,15,0,0,0.0,10,14,0,0,stable
31,Gabriel Fernando de Jesus,15,0,0,0.0,10,15,0,0,stable
266,Eberechi Eze,15,322,5,64.4,0,1,709,8,stable
662,Cristhian Mosquera,15,137,4,27.4,4,2,227,1,increasing
666,Viktor Gyökeres,15,70,3,14.0,2,2,475,4,decreasing
700,Max Dowman,14,0,0,0.0,10,12,0,0,stable
711,Andre Harriman-Annous,13,0,0,0.0,10,13,0,0,stable
725,Piero Hincapié,12,357,4,71.4,4,5,383,4,increasing
759,Marli Salmon,1,0,0,0.0,1,1,0,0,insufficient_data
